,Study Fields
206,OutcomeAnalysisCIPctValue
207,OutcomeAnalysisCIUpperLimit
208,OutcomeAnalysisCIUpperLimitComment
209,OutcomeAnalysisDispersionType
210,OutcomeAnalysisDispersionValue
211,OutcomeAnalysisEstimateComment
212,OutcomeAnalysisGroupDescription
213,OutcomeAnalysisGroupId
214,OutcomeAnalysisNonInferiorityComment
215,OutcomeAnalysisNonInferiorityType
216,OutcomeAnalysisOtherAnalysisDescription
217,OutcomeAnalysisPValue
218,OutcomeAnalysisPValueComment
219,OutcomeAnalysisParamType
220,OutcomeAnalysisParamValue
221,OutcomeAnalysisStatisticalComment
222,OutcomeAnalysisStatisticalMethod
223,OutcomeAnalysisTestedNonInferiority
224,OutcomeCategoryTitle
225,OutcomeClassDenomCountGroupId
226,OutcomeClassDenomCountValue
227,OutcomeClassDenomUnits
228,OutcomeClassTitle
229,OutcomeDenomCountGroupId
230,OutcomeDenomCountValue
231,OutcomeDenomUnits
232,OutcomeGroupDescription
233,OutcomeGroupId
234,OutcomeGroupTitle
235,OutcomeMeasureAnticipatedPostingDate
236,OutcomeMeasureCalculatePct
237,OutcomeMeasureDenomUnitsSelected
238,OutcomeMeasureDescription
239,OutcomeMeasureDispersionType
240,OutcomeMeasureParamType
241,OutcomeMeasurePopulationDescription
242,OutcomeMeasureReportingStatus
243,OutcomeMeasureTimeFrame
244,OutcomeMeasureTitle
245,OutcomeMeasureType
246,OutcomeMeasureTypeUnitsAnalyzed
247,OutcomeMeasureUnitOfMeasure
248,OutcomeMeasurementComment
249,OutcomeMeasurementGroupId
250,OutcomeMeasurementLowerLimit
251,OutcomeMeasurementSpread
252,OutcomeMeasurementUpperLimit
253,OutcomeMeasurementValue
254,OverallOfficialAffiliation
255,OverallOfficialName
256,OverallOfficialRole
257,OverallStatus
258,OversightHasDMC
259,PatientRegistry
260,Phase
261,PointOfContactEMail
262,PointOfContactOrganization
263,PointOfContactPhone
264,PointOfContactPhoneExt
265,PointOfContactTitle
266,PrimaryCompletionDate
267,PrimaryCompletionDateType
268,PrimaryOutcomeDescription
269,PrimaryOutcomeMeasure
270,PrimaryOutcomeTimeFrame
271,ReferenceCitation
272,ReferencePMID
273,ReferenceType
274,RemovedCountry
275,ResponsiblePartyInvestigatorAffiliation
276,ResponsiblePartyInvestigatorFullName
277,ResponsiblePartyInvestigatorTitle
278,ResponsiblePartyOldNameTitle
279,ResponsiblePartyOldOrganization
280,ResponsiblePartyType
281,ResultsFirstPostDate
282,ResultsFirstPostDateType
283,ResultsFirstPostedQCCommentsDate
284,ResultsFirstPostedQCCommentsDateType
285,ResultsFirstSubmitDate
286,ResultsFirstSubmitQCDate
287,RetractionPMID
288,RetractionSource
289,SamplingMethod
290,SecondaryId
291,SecondaryIdDomain
292,SecondaryIdLink
293,SecondaryIdType
294,SecondaryOutcomeDescription
295,SecondaryOutcomeMeasure
296,SecondaryOutcomeTimeFrame
297,SeeAlsoLinkLabel
298,SeeAlsoLinkURL
299,SeriousEventAssessmentType
300,SeriousEventNotes
301,SeriousEventOrganSystem
302,SeriousEventSourceVocabulary
303,SeriousEventStatsGroupId
304,SeriousEventStatsNumAffected
305,SeriousEventStatsNumAtRisk
306,SeriousEventStatsNumEvents
307,SeriousEventTerm
308,StartDate
309,StartDateType
310,StatusVerifiedDate
311,StdAge
312,StudyFirstPostDate
313,StudyFirstPostDateType
314,StudyFirstSubmitDate
315,StudyFirstSubmitQCDate
316,StudyPopulation
317,StudyType
318,SubmissionMCPReleaseN
319,SubmissionReleaseDate
320,SubmissionResetDate
321,SubmissionUnreleaseDate
322,TargetDuration
323,UnpostedEventDate
324,UnpostedEventType
325,UnpostedResponsibleParty
326,VersionHolder
327,WhyStopped
